No. Pesanan,Status Pesanan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,city,user_id
2103017PUH1WMN,Selesai,,JP1737075560,J&T Express,Pickup,2021-03-03 09:31,2021-03-01 17:36,2021-03-01 09:31,2021-03-01 09:31,,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_MauvePink_M,"Mauve Pink,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 174500.0,Rp 10000.0,,,Tangerang Selatan,51
210302AX6RYQ4M,Selesai,,002504001154,SiCepat REG,Pickup,2021-03-04 16:20,2021-03-03 14:40,2021-03-02 16:20,2021-03-02 16:20,,miniletics Legging Olahraga Wanita Swift Legging,SLfull_DarkBlue_L,"Dark Blue,L",Rp 249500.0,Rp 249500.0,1,Rp 249500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,6437,Rp 0.0,Rp 7000.0,Rp 253280.0,Rp 7000.0,,,Bogor,49
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Blue_L,"Blue,L",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_LightPurple_L,"Light Purple,L",Rp 174500.0,Rp 174500.0,2,Rp 349000.0,Rp 0.0,Rp 0.0,Rp 0.0,600 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306K5X0XM90,Selesai,,IN-2-0IUPCRH3H1SSIS5R8P15,GrabExpress Instant,Pickup,2021-03-08 23:30,2021-03-06 09:41,2021-03-05 23:00,2021-03-05 23:01,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_L,"Periwinkle,L",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,4,1200 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 769500.0,Rp 6000.0,,,Surabaya,106
210306MFNMPJKQ,Selesai,,002505057241,SiCepat REG,Pickup,2021-03-09 11:30,2021-03-06 12:43,2021-03-06 11:27,2021-03-06 11:30,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_PastelLilac_M,"Paste Lilac,M",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 3000.0,Rp 248000.0,Rp 3000.0,,,Surabaya,106
210305HWU8R27U,Selesai,,002504859435,SiCepat REG,Pickup,2021-03-09 11:03,2021-03-05 14:39,2021-03-05 11:02,2021-03-05 11:03,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_M,"Periwinkle,M",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,4717,Rp 0.0,Rp 7000.0,Rp 174140.0,Rp 7000.0,,,Jakarta Selatan,42
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Clay_M,"Clay,M",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,miniletics Tank Top Olahraga Wanita Feel Free Basic Crop Tank,FFT_Black_M,"Black,M",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
210307QS3G5QKN,Selesai,,JP0660562433,J&T Express,Pickup,2021-03-09 18:53,2021-03-08 16:23,2021-03-07 18:53,2021-03-07 18:53,,"miniletics Sports Bra Feel Free Bra, with A/B cup",FFB_LightPurple_M,"Light Purple,M",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,33953,Rp 0.0,Rp 0.0,Rp 420522.0,Rp 23000.0,,,Denpasar,77
21030189ME3UFQ,Selesai,,10000943190716,Anteraja,Pickup,2021-03-03 15:07,2021-03-02 15:04,2021-03-01 15:07,2021-03-01 15:07,,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_White_M,"White,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 174500.0,Rp 7500.0,,,Tangerang Selatan,88
2103018C7MQ1QC,Selesai,Permintaan Dibatalkan,10000944600351,Anteraja,Pickup,2021-03-03 15:55,2021-03-02 15:28,2021-03-01 15:53,2021-03-01 15:55,,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Magenta_M,"Magenta,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 426662.0,Rp 7500.0,,,Semarang,13
2103018C7MQ1QC,Selesai,Permintaan Dibatalkan,10000944600351,Anteraja,Pickup,2021-03-03 15:55,2021-03-02 15:28,2021-03-01 15:53,2021-03-01 15:55,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_MauvePink_L,"Mauve Pink,L",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 426662.0,Rp 7500.0,,,Semarang,13
21030185BY3R1Y,Selesai,,JP4217292273,J&T Express,Pickup,2021-03-03 13:52,2021-03-02 16:30,2021-03-01 13:50,2021-03-01 13:52,,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_Periwinkle_L,"Periwinkle,L",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 175000.0,Rp 21500.0,,,Bengkulu,173
210303DRWRJB2E,Selesai,,10000953157783,Anteraja,Pickup,2021-03-08 21:54,2021-03-04 15:41,2021-03-03 19:24,2021-03-03 21:54,,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Magenta_S,"Magenta,S",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 182500.0,Rp 7500.0,,,Jakarta Barat,101
210309VNAMBU71,Selesai,,JP5351047288,J&T Express,Pickup,2021-03-12 17:33,2021-03-10 16:17,2021-03-09 17:29,2021-03-09 17:33,,"miniletics Sports Bra Embrace Bra High Neck, with A/B cup",EMBHigh_Periwinkle_M,"Periwinkle,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 452796.0,Rp 7500.0,,,Jakarta Selatan,249
210309VNAMBU71,Selesai,,JP5351047288,J&T Express,Pickup,2021-03-12 17:33,2021-03-10 16:17,2021-03-09 17:29,2021-03-09 17:33,,miniletics Tank Top Olahraga Wanita ClariTy Tank,CT_White_M,"White,M",Rp 139000.0,Rp 139000.0,1,Rp 139000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 452796.0,Rp 7500.0,,,Jakarta Selatan,249
210309VNAMBU71,Selesai,,JP5351047288,J&T Express,Pickup,2021-03-12 17:33,2021-03-10 16:17,2021-03-09 17:29,2021-03-09 17:33,,miniletics Tank Top Olahraga Wanita ClariTy Tank,CT_Black_M,"Black,M",Rp 139000.0,Rp 139000.0,1,Rp 139000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,3,900 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 452796.0,Rp 7500.0,,,Jakarta Selatan,249
21031148FXER9F,Selesai,,10000983453112,Anteraja,Pickup,2021-03-15 14:23,2021-03-12 15:09,2021-03-11 14:22,2021-03-11 14:23,,miniletics Baju Olahraga Wanita Tank Top Tie It Strong Tank,TST_White_M,"White,M",Rp 144000.0,Rp 144000.0,1,Rp 144000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 332234.0,Rp 7500.0,,,Jakarta Utara,31
21031148FXER9F,Selesai,,10000983453112,Anteraja,Pickup,2021-03-15 14:23,2021-03-12 15:09,2021-03-11 14:22,2021-03-11 14:23,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_White_M,"White,M",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 332234.0,Rp 7500.0,,,Jakarta Utara,31
210306NJMXPMKE,Selesai,,10000967878450,Anteraja,Pickup,2021-03-09 21:54,2021-03-08 15:16,2021-03-06 21:53,2021-03-06 21:54,,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_L,"Periwinkle,L",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 10000.0,Rp 180000.0,Rp 35000.0,,,Gorontalo,50
210317K3KXW8QQ,Selesai,,002508248870,SiCepat REG,Pickup,2021-03-19 12:05,2021-03-17 15:10,2021-03-17 12:05,2021-03-17 12:05,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Black_S,"Black,S",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7000.0,Rp 254014.0,Rp 7000.0,,,Jakarta Pusat,121
2103139BYHGRQR,Selesai,,10000992318989,Anteraja,Pickup,2021-03-16 15:08,2021-03-15 15:13,2021-03-13 15:08,2021-03-13 15:08,,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_Cream_M,"Cream,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,37800,Rp 0.0,Rp 0.0,Rp 148100.0,Rp 3500.0,,,Surabaya,59
210320TQCT82HT,Selesai,,002510225221,"Reguler
SiCepat REG",Pickup,2021-03-23 12:48,2021-03-22 17:44,2021-03-20 12:47,2021-03-20 12:48,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_PastelLilac_L,"Paste Lilac,L",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 9000.0,Rp 253500.0,Rp 9000.0,,,Tangerang Selatan,46
2103139KPGNMQP,Selesai,,10000992341680,Anteraja,Pickup,2021-03-16 07:33,2021-03-15 15:13,2021-03-13 17:26,2021-03-14 07:33,,miniletics Celana Wanita Ready Anywhere Crop,RACrop_LavenderGrey_S,"Lavender Grey,S",Rp 249500.0,Rp 249500.0,1,Rp 249500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 257500.0,Rp 7500.0,,,Jakarta Selatan,34
2103234XNWWP7Y,Selesai,,10001022146312,"Reguler
Anteraja",Pickup,2021-03-25 10:49,2021-03-23 14:40,2021-03-23 10:46,2021-03-23 10:49,,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Black_XL,"Black,XL",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 6000.0,Rp 250804.0,Rp 6000.0,,,Tulungagung,62
210317K0N5C9SA,Selesai,,002508174638,SiCepat REG,Pickup,2021-03-19 11:13,2021-03-17 15:11,2021-03-17 11:12,2021-03-17 11:13,,miniletics Jaket Olahraga Wanita Sprint Jacket,SPRJacket_SpaceBlue_M,"Space Blue,M",Rp 274500.0,Rp 260774.0,1,Rp 260774.0,Rp 13724.0,Rp 13724.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 22450.0,0,Rp 0.0,Rp 17000.0,Rp 447984.0,Rp 17000.0,,,Palembang,196
210317K0N5C9SA,Selesai,,002508174638,SiCepat REG,Pickup,2021-03-19 11:13,2021-03-17 15:11,2021-03-17 11:12,2021-03-17 11:13,,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Black_M,"Black,M",Rp 174500.0,Rp 165774.0,1,Rp 165774.0,Rp 8724.0,Rp 8724.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 22450.0,0,Rp 0.0,Rp 17000.0,Rp 447984.0,Rp 17000.0,,,Palembang,196
210314C47C7H7V,Selesai,,CM86526509968,JNE Reguler (Cashless),Pickup,2021-03-17 15:28,2021-03-16 15:43,2021-03-14 17:27,2021-03-15 15:28,,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_Cream_L,"Cream,L",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 9000.0,Rp 184000.0,Rp 9000.0,,,Bekasi,86
210330PDJXRRP9,Selesai,,CM28149415422,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-01 09:28,2021-03-30 17:41,2021-03-30 09:28,2021-03-30 09:28,,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_MauvePink_S,"Mauve Pink,S",Rp 249500.0,Rp 249500.0,1,Rp 249500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,138,Rp 0.0,Rp 0.0,Rp 249430.0,Rp 9000.0,,,Sleman,226
210330PRR3QDQ6,Selesai,,JP8744823567,"Reguler
J&T Express",Pickup,2021-04-01 12:48,2021-03-30 16:23,2021-03-30 12:48,2021-03-30 12:48,,miniletics Confit Jacket Jaket Olahraga Wanita,CJ_EggplantPurple_XL,"Eggplant Purple,XL",Rp 349000.0,Rp 349000.0,1,Rp 349000.0,Rp 0.0,Rp 0.0,Rp 0.0,350 gr,1,350 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 10000.0,Rp 362590.0,Rp 10000.0,,,Bandung,11
210328JM8C6R50,Selesai,,JP9839014673,"Reguler
J&T Express",Pickup,2021-03-30 21:21,2021-03-29 16:23,2021-03-28 21:17,2021-03-28 21:21,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_S,"White,S",Rp 134000.0,Rp 134000.0,1,Rp 134000.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 274000.0,Rp 7500.0,,,Jakarta Selatan,17
210328JM8C6R50,Selesai,,JP9839014673,"Reguler
J&T Express",Pickup,2021-03-30 21:21,2021-03-29 16:23,2021-03-28 21:17,2021-03-28 21:21,,miniletics Cross Limit (Cropped Tank) Tank Top Olahraga Wanita,CLT_Black_S,"Black,S",Rp 139500.0,Rp 139500.0,1,Rp 139500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 274000.0,Rp 7500.0,,,Jakarta Selatan,17
210330QF8E884K,Selesai,,CM40894522030,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-05 04:39,2021-03-31 16:22,2021-03-30 19:31,2021-03-31 04:39,,"miniletics Notice Mi 2 in 1 Tank, A/B cup Tank Top Olahraga Wanita",NMT_Grey_L,"Grey,L",Rp 199500.0,Rp 199500.0,1,Rp 199500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 14000.0,Rp 458500.0,Rp 14000.0,,,Serang,122
210330QF8E884K,Selesai,,CM40894522030,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-05 04:39,2021-03-31 16:22,2021-03-30 19:31,2021-03-31 04:39,,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_Black_XL,"Black,XL",Rp 244500.0,Rp 244500.0,1,Rp 244500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 14000.0,Rp 458500.0,Rp 14000.0,,,Serang,122
210330QTRKKXMV,Selesai,,002514240574,"Reguler
SiCepat REG",Pickup,2021-04-01 22:57,2021-03-31 15:42,2021-03-30 22:56,2021-03-30 22:57,,miniletics Confit Jacket Jaket Olahraga Wanita,CJ_Turqoise_M,"Turquoise,M",Rp 349000.0,Rp 349000.0,1,Rp 349000.0,Rp 0.0,Rp 0.0,Rp 0.0,350 gr,1,350 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 349000.0,Rp 7500.0,Mohon dikirim segera!❤️,,Jakarta Selatan,89
210331SYK2BMGR,Selesai,,002515684143,"Reguler
SiCepat REG",Pickup,2021-04-06 14:35,2021-04-03 12:56,2021-03-31 19:28,2021-04-01 14:35,,"miniletics Motion Shorts 4""Celana Olahraga Wanita",MOLShorts_Black_S,"Black,S",Rp 169500.0,Rp 169500.0,1,Rp 169500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 344500.0,Rp 10000.0,,,Denpasar,194
210331SYK2BMGR,Selesai,,002515684143,"Reguler
SiCepat REG",Pickup,2021-04-06 14:35,2021-04-03 12:56,2021-03-31 19:28,2021-04-01 14:35,,"miniletics Embrace Bra High Neck, with A/B cup Sports Bra",EMBHigh_White_M,"White,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 344500.0,Rp 10000.0,,,Denpasar,194